Nominativo,Gruppo
AIELLO Davide,MOVIMENTO 5 STELLE
ALBANO Lucia,FRATELLI D'ITALIA
ALIFANO Enrica,MOVIMENTO 5 STELLE
ALMICI Cristina,FRATELLI D'ITALIA
AMATO Gaetano,MOVIMENTO 5 STELLE
AMBROSI Alessia,FRATELLI D'ITALIA
AMENDOLA Vincenzo,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
AMICH Enzo,FRATELLI D'ITALIA
AMORESE Alessandro,FRATELLI D'ITALIA
ANDREUZZA Giorgia,LEGA - SALVINI PREMIER
ANGELUCCI Antonio,LEGA - SALVINI PREMIER
ANTONIOZZI Alfredo,FRATELLI D'ITALIA
APPENDINO Chiara,MOVIMENTO 5 STELLE
ARRUZZOLO Giovanni,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
ASCANI Anna,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
ASCARI Stefania,MOVIMENTO 5 STELLE
AURIEMMA Carmela,MOVIMENTO 5 STELLE
BAGNAI Alberto,LEGA - SALVINI PREMIER
BAGNASCO Roberto,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BAKKALI Ouidad,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
BALDELLI Antonio,FRATELLI D'ITALIA
BALDINO Vittoria,MOVIMENTO 5 STELLE
BARABOTTI Andrea,LEGA - SALVINI PREMIER
BARBAGALLO Anthony Emanuele,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
BARELLI Paolo,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BARZOTTI Valentina,MOVIMENTO 5 STELLE
BATTILOCCHIO Alessandro,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BATTISTONI Francesco,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BELLOMO Davide,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BELLUCCI Maria Teresa,FRATELLI D'ITALIA
BENIGNI Stefano,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BENVENUTI GOSTOLI Stefano Maria,FRATELLI D'ITALIA
BENVENUTO Alessandro Manuel,LEGA - SALVINI PREMIER
BENZONI Fabrizio,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE
BERGAMINI Davide,LEGA - SALVINI PREMIER
BERGAMINI Deborah,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BERRUTO Mauro,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
BICCHIELLI Pino,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BIGNAMI Galeazzo,FRATELLI D'ITALIA
BILLI Simone,LEGA - SALVINI PREMIER
BISA Ingrid,LEGA - SALVINI PREMIER
BITONCI Massimo,LEGA - SALVINI PREMIER
BOF Gianangelo,LEGA - SALVINI PREMIER
BOLDRINI Laura,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
BONAFE' Simona,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
BONELLI Angelo,ALLEANZA VERDI E SINISTRA
BONETTI Elena,AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE
BONIFAZI Francesco,ITALIA VIVA-IL CENTRO-RENEW EUROPE
BORDONALI Simona,LEGA - SALVINI PREMIER
BORRELLI Francesco Emilio,ALLEANZA VERDI E SINISTRA
BOSCAINI Maria Paola,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
BOSCHI Maria Elena,ITALIA VIVA-IL CENTRO-RENEW EUROPE
BOSSI Umberto,LEGA - SALVINI PREMIER
BRAGA Chiara,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
BRAMBILLA Michela Vittoria,NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE
BRUNO Raffaele,MOVIMENTO 5 STELLE
BRUZZONE Francesco,LEGA - SALVINI PREMIER
BUONGUERRIERI Alice,FRATELLI D'ITALIA
CAFIERO DE RAHO Federico,MOVIMENTO 5 STELLE
CAIATA Salvatore,FRATELLI D'ITALIA
CALDERONE Tommaso Antonino,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
CALOVINI Giangiacomo,FRATELLI D'ITALIA
CANDIANI Stefano,LEGA - SALVINI PREMIER
CANGIANO Gerolamo,FRATELLI D'ITALIA
CANNATA Giovanni Luca,FRATELLI D'ITALIA
CANNIZZARO Francesco,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE
CANTONE Luciano,MOVIMENTO 5 STELLE
CAPARVI Virginio,LEGA - SALVINI PREMIER
