nome_rdf,nome_csv_corrispondente
VINCENZO AMICH,AMICH Enzo
ANDREA GIORGIO FELICE MARIA ORSINI,ORSINI Andrea
BACHISIO SILVIO LAI,LAI Silvio
GIUSEPPE BICCHIELLI,BICCHIELLI Pino
GIUSEPPE LUCIANO CALOGERO PROVENZANO,PROVENZANO Giuseppe
GIULIO CARLO DANILO TREMONTI,TREMONTI Giulio
CARMELA DI LAURO,DI LAURO Carmen
VALERIA CARMELA MARIA SUDANO,SUDANO Valeria
GIOVANNI CUPERLO,CUPERLO Gianni
GIACOMO DIEGO GATTA,GATTA Giandiego
ELENA ETHEL SCHLEIN,SCHLEIN Elly
MAURIZIO ENZO LUPI,LUPI Maurizio
EUGENIA MARIA ROCCELLA,ROCCELLA Eugenia
PIERO FRANCO FASSINO,FASSINO Piero
IGOR GIANCARLO IEZZI,IEZZI Igor
LUIGI GIOVANNI MAIORANO,MAIORANO Giovanni
GLORIA SACCANI,SACCANI JOTTI Gloria
MARIA IMMACOLATA VIETRI,VIETRI Imma
PASQUA L'ABBATE,L'ABBATE Patty
MARINA MARCHETTO,MARCHETTO ALIPRANDI Marina
GIGLIO VIGNA ALESSANDRO,GIGLIO VIGNA Alessandro
FEDERICO CAFIERO DE RAHO,CAFIERO DE RAHO Federico
