"persona","cognome","nome","dataNascita","nato","luogoNascita","genere","collegio","nomeGruppo","sigla","commissione","aggiornamento"
"http://dati.camera.it/ocd/persona.rdf/p309220","PANDOLFO","ALBERTO","19851129","nato a GENOVA, GENOVA, LIGURIA, il 29.11.1985","GENOVA","male","LIGURIA - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP","X COMMISSIONE (ATTIVITA'  PRODUTTIVE, COMMERCIO E TURISMO)",2025-06-17 12:43:55
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PERMANENTE PER L'ATTUAZIONE DELL'AGENDA 2030 E LO SVILUPPO SOSTENIBILE",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PERMANENTE SUI DIRITTI UMANI NEL MONDO",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PERMANENTE SUGLI ITALIANI NEL MONDO",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PERMANENTE SUL COMMERCIO INTERNAZIONALE",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PERMANENTE SULLA POLITICA ESTERA PER L'AREA INDO-MEDITERRANEA",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PERMANENTE SULLA POLITICA ESTERA PER L'ARTICO",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PERMANENTE SULLA POLITICA ESTERA PER L'AFRICA",2025-11-07 13:19:46
"http://dati.camera.it/ocd/persona.rdf/p308761","PISANO","CALOGERO","19810620","nato a AGRIGENTO, AGRIGENTO, SICILIA, il 20.06.1981","AGRIGENTO","male","SICILIA 1 - P02","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022","NM(N-C-U-I)M-CP","COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI LAVORO IN ITALIA, SULLO SFRUTTAMENTO E SULLA TUTELA DELLA SALUTE E DELLA SICUREZZA NEI LUOGHI DI LAVORO PUBBLICI E PRIVATI",2025-11-07 13:19:46
